iter	RMSE
0	0.4702411071
1	0.4534597111
2	0.4397256172
3	0.4278887104
4	0.4168664691
5	0.4080890394
6	0.4001930249
7	0.3932625405
8	0.3887512056
9	0.3831099148
10	0.3778359164
11	0.3729384356
12	0.3692113359
13	0.367568749
14	0.3658582824
15	0.3640069996
16	0.3613153653
17	0.3591941324
18	0.3571308446
19	0.3547294418
20	0.3523016716
21	0.3519853289
22	0.3503421534
23	0.3493909196
24	0.3479720176
25	0.3472086062
26	0.3459088379
27	0.3437787275
28	0.3430776906
29	0.3415814385
30	0.3410786496
31	0.3401351358
32	0.3389743182
33	0.3384240334
34	0.3376495643
35	0.3367719552
36	0.3362602855
37	0.3358248785
38	0.3346129653
39	0.3336868275
40	0.3333755212
41	0.3326698094
42	0.3319730975
43	0.3315473858
44	0.3302028651
45	0.3287102639
46	0.3285174647
47	0.3283658687
48	0.3270748586
49	0.3262067459
