iter	Passed	Remaining
0	1	113
1	3	166
2	5	182
3	7	190
4	10	190
5	12	190
6	14	188
7	14	171
8	16	171
9	19	172
10	21	172
11	23	174
12	26	175
13	28	176
14	29	167
15	32	168
16	34	167
17	35	163
18	37	161
19	38	155
20	39	149
21	41	148
22	44	147
23	46	147
24	47	141
25	49	140
26	51	140
27	53	136
28	55	135
29	57	134
30	58	129
31	60	128
32	62	127
33	65	126
34	66	122
35	68	121
36	70	119
37	72	118
38	74	116
39	76	115
40	78	112
41	80	111
42	82	109
43	83	106
44	85	104
45	86	101
46	88	99
47	88	96
48	90	94
49	91	91
50	92	89
51	94	87
52	96	85
53	98	83
54	100	82
55	102	80
56	103	78
57	105	76
58	108	75
59	109	73
60	112	71
61	114	70
62	116	68
63	118	66
64	120	65
65	123	63
66	124	61
67	126	59
68	127	57
69	129	55
70	131	53
71	132	51
72	134	49
73	136	48
74	139	46
75	140	44
76	143	42
77	144	40
78	146	38
79	148	37
80	151	35
81	152	33
82	154	31
83	156	29
84	158	28
85	161	26
86	162	24
87	164	22
88	165	20
89	166	18
90	168	16
91	170	14
92	172	12
93	174	11
94	177	9
95	179	7
96	180	5
97	183	3
98	185	1
99	188	0
